file_title,url,saved_as,status,error
File:Flag_of_Eswatini.svg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Eswatini.svg,Flag_of_Eswatini.svg,already_exists,
File:Flag_of_South_Africa.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,Flag_of_South_Africa.svg,downloaded,
File:Flag_of_Sudan.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,Flag_of_Sudan.svg,downloaded,
File:Flag_of_South_Sudan.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,Flag_of_South_Sudan.svg,downloaded,
File:Flag_of_Sweden.svg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg,Flag_of_Sweden.svg,downloaded,
File:Flag_of_Switzerland_(Pantone).svg,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Flag_of_Switzerland_(Pantone).svg,downloaded,
File:Flag_of_Suriname.svg,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,Flag_of_Suriname.svg,downloaded,
File:Flag_of_Thailand.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,Flag_of_Thailand.svg,downloaded,
File:Flag_of_Tanzania.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,Flag_of_Tanzania.svg,downloaded,
File:Flag_of_Tajikistan.svg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,Flag_of_Tajikistan.svg,downloaded,
File:Flag_of_East_Timor.svg,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg,Flag_of_East_Timor.svg,downloaded,
File:Flag_of_Togo_(3-2).svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_Togo_%283-2%29.svg,Flag_of_Togo_(3-2).svg,downloaded,
File:Flag_of_Tonga.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,Flag_of_Tonga.svg,downloaded,
File:Flag_of_Trinidad_and_Tobago.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,Flag_of_Trinidad_and_Tobago.svg,downloaded,
File:Flag_of_Tunisia.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,Flag_of_Tunisia.svg,downloaded,
File:Flag_of_Turkmenistan.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,Flag_of_Turkmenistan.svg,downloaded,
File:Flag_of_Turkey.svg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,Flag_of_Turkey.svg,downloaded,
File:Flag_of_Tuvalu.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg,Flag_of_Tuvalu.svg,downloaded,
File:Flag_of_Ukraine.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Flag_of_Ukraine.svg,downloaded,
File:Flag_of_Uganda.svg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg,Flag_of_Uganda.svg,downloaded,
File:Flag_of_Uruguay.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Flag_of_Uruguay.svg,downloaded,
File:Flag_of_Uzbekistan.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,Flag_of_Uzbekistan.svg,downloaded,
File:Flag_of_Vanuatu.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg,Flag_of_Vanuatu.svg,downloaded,
File:Flag_of_the_Vatican_City.svg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Flag_of_Vatican_City_%282023%E2%80%93present%29.svg,Flag_of_Vatican_City_(2023–present).svg,downloaded,
File:Flag_of_Vatican_City_(2023–present).svg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Flag_of_Vatican_City_%282023%E2%80%93present%29.svg,Flag_of_Vatican_City_(2023–present).svg,already_exists,
File:Flag_of_Venezuela.svg,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,Flag_of_Venezuela.svg,downloaded,
File:Flag_of_Vietnam.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,Flag_of_Vietnam.svg,downloaded,
File:Flag_of_Yemen.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,Flag_of_Yemen.svg,downloaded,
File:Flag_of_Djibouti.svg,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,Flag_of_Djibouti.svg,downloaded,
File:Flag_of_Zambia.svg,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,Flag_of_Zambia.svg,downloaded,
File:Flag_of_Zimbabwe.svg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg,Flag_of_Zimbabwe.svg,downloaded,
File:Wikidata-logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Wikidata-logo.svg,Wikidata-logo.svg,already_exists,
File:Commons-logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg,Commons-logo.svg,already_exists,
